id,name,category,activity,calories,duration_min,activity_date,city,tags
1,Alice,Exercise,Running,350,30,2024-01-05,New York,cardio|outdoor
2,Bob,Exercise,Cycling,420,45,2024-01-06,Chicago,cardio|outdoor
3,Charlie,Diet,Breakfast,,15,2024-01-06,New York,meal|healthy
4,Dave,Exercise,Yoga,180,60,2024-01-07,Boston,flexibility|indoor
5,Eve,Sleep,Nap,,90,2024-01-07,Chicago,rest
6,Frank,Exercise,Swimming,500,40,2024-01-08,Boston,cardio|water
7,Grace,Diet,Lunch,650,20,2024-01-08,New York,meal
8,Heidi,Exercise,Running,,35,2024-01-09,Seattle,cardio|outdoor
9,Ivan,Sleep,Night,0,480,2024-01-09,Chicago,rest|recovery
10,Judy,Exercise,Weightlifting,300,50,2024-01-10,Seattle,strength|indoor
11,Alice,Diet,Dinner,700,25,2024-01-10,New York,meal|healthy
12,Bob,Exercise,Cycling,,55,2024-01-11,Chicago,cardio|outdoor
